fid             , centroid_lat         , centroid_lon      , phaq, phkc, area    , county                                                                         , county_iso
ken_soil_ph.3135, -3.7323307859154915  , 38.548533104527415,  6.4,  5.3, 0.001392, Taita Taveta                                                                   , KE-39
ken_soil_ph.3137, -3.746688920189279   , 38.39320807345023 ,  6.4,  5.3, 0.001944, Taita Taveta                                                                   , KE-39
ken_soil_ph.3138, -3.741175543238266   , 38.70355111153486 ,  5.7,  4.4, 0.002338, Taita Taveta                                                                   , KE-39
ken_soil_ph.3140, -3.7748052543317905  , 39.48434129532013 ,  7.9,  7.2, 0.00242 , Kilifi                                                                         , KE-14
ken_soil_ph.3141, -3.9861004376606464  , 39.37791859208088 ,  5.5,  4.3, 0.051801, Kwale                                                                          , KE-19
ken_soil_ph.3143, -3.7492519861490834  , 38.88018686139491 ,  5.7,  4.4, 0.000903, Taita Taveta                                                                   , KE-39
ken_soil_ph.3144, -3.920496728885689   , 38.81669576160266 ,  5.7,  4.4, 0.024283, Taita Taveta                                                                   , KE-39
ken_soil_ph.3146, -3.8094968479634357  , 39.78009543715154 ,  5.9,  5.3, 0.003145, Mombasa                                                                        , KE-28
ken_soil_ph.3147, -3.9626436699402277  , 39.284614389145105,  6.4,  5.1, 0.012062, Kwale                                                                          , KE-19
ken_soil_ph.3148, -3.7774842182791106  , 39.30952467567586 ,  5.9,  5.0, 0.001433, Kilifi                                                                         , KE-14
ken_soil_ph.3149, -3.918814845572944   , 38.73248241712403 ,  8.0,  6.9, 0.007319, Taita Taveta                                                                   , KE-39
ken_soil_ph.3151, -3.8159578528606617  , 39.0810716261625  ,  7.1,  6.2, 0.001456, Kwale                                                                          , KE-19
ken_soil_ph.3153, -3.805580718897015   , 38.70668502228012 ,  5.7,  4.4, 0.001431, Taita Taveta                                                                   , KE-39
ken_soil_ph.3155, -3.8574231164101174  , 38.513649806326114,  8.0,  6.9, 0.004199, Taita Taveta                                                                   , KE-39
ken_soil_ph.3156, -3.9021286142965534  , 39.160889521350725,  7.1,  5.8, 0.018826, Kwale                                                                          , KE-19
ken_soil_ph.3157, -3.8010466957835827  , 39.23788618272117 ,  5.9,  5.0, 0.001061, Kwale                                                                          , KE-19
ken_soil_ph.3164, -3.890723395978952   , 39.29759014863138 ,  5.9,  5.0, 0.003722, Kwale                                                                          , KE-19
ken_soil_ph.3165, -3.9462365815209237  , 39.32817856259052 ,  7.1,  5.8, 0.004939, Kwale                                                                          , KE-19
ken_soil_ph.3171, -3.9327985152333977  , 39.70707622894825 ,  5.8,  5.3, 0.001425, Mombasa                                                                        , KE-28
ken_soil_ph.3178, -4.082889687014443   , 39.013094994445005,  7.3,  6.4, 0.023665, Kwale                                                                          , KE-19
ken_soil_ph.3180, -4.0097285842045185  , 39.706538444888274,  6.5,  5.6, 0.001796, Mombasa                                                                        , KE-28
ken_soil_ph.3182, -4.015971417125823   , 39.649287187196784,  5.8,  5.3, 0.002587, Mombasa                                                                        , KE-28
ken_soil_ph.3183, -4.011275960675138   , 38.8110845735308  ,  5.7,  4.4, 0.000519, Taita Taveta                                                                   , KE-39
ken_soil_ph.3184, -4.061825703023188   , 38.60699949363725 ,  6.4,  5.3, 0.00209 , Taita Taveta                                                                   , KE-39
ken_soil_ph.3185, -4.043363163285195   , 39.4615343586021  ,  5.4,  4.5, 0.006078, Mombasa                                                                        , KE-28
ken_soil_ph.3187, -4.036020665581742   , 39.60173370058437 ,  5.4,  4.4, 0.002663, Mombasa                                                                        , KE-28
ken_soil_ph.3188, -4.103545226159721   , 39.17035280891675 ,  5.9,  5.0, 0.014719, Kwale                                                                          , KE-19
ken_soil_ph.3190, -4.092942521866328   , 38.534003540786486,  6.4,  5.3, 0.003907, Taita Taveta                                                                   , KE-39
