name                                , lat         , lon         , products     , prices
Machwani Logistics                  ,0.461643074,34.11484312," NPK, CAN, DAP"," 60,55,70"
Rach grodealer                      ,-6.912539343,-30.08776277," NPK, CAN, DAP"," 60,55,70"
F1 agrovet                          ,36.87961712,-30.1757912," NPK, CAN, DAP"," 60,55,70"
Raj agro dealers                    ,54.67383038,-22.79297501," NPK, CAN, DAP"," 60,55,70"
Hope Empire                         ,0.463744852,34.17370688," NPK, CAN, DAP"," 60,55,70"
Busia Agrovet                       ,0.472237113,34.11490481," NPK, CAN, DAP"," 60,55,70"
Beclemars AGrovet                   ,0.590018223,34.25002344," NPK, CAN, DAP"," 60,55,70"
Luke's shop                         ,0.458563,34.1150212," NPK, CAN, DAP"," 60,55,70"
Liege Agro Business                 ,0.071220007,33.98931038," NPK, CAN, DAP"," 60,55,70"
Raj agro-dealer                     ,0.458664,34.1149135," NPK, CAN, DAP"," 60,55,70"
Faith agrodealer                    ,0.4584071,34.1152118," NPK, CAN, DAP"," 60,55,70"
Agro-dealer                         ,0.347709384,34.26342677," NPK, CAN, DAP"," 60,55,70"
Festus agro dealers                 ,0.45883221,34.1152934," NPK, CAN, DAP"," 60,55,70"
Agro dealers                        ,0.59583931,34.22462292," NPK, CAN, DAP"," 60,55,70"
Rachi agrodeal                      ,0.60612334,33.98367271," NPK, CAN, DAP"," 60,55,70"
Efwe Agrovet                        ,0.464452261,34.12485916," NPK, CAN, DAP"," 60,55,70"
Wakulima farmers                    ,0.330022201,34.33003541," NPK, CAN, DAP"," 60,55,70"
Lavia Agro dealer                   ,0.448877504,34.13808681," NPK, CAN, DAP"," 60,55,70"
Rage agro.                          ,0.455423231,34.1150111," NPK, CAN, DAP"," 60,55,70"
Omollo Agro dealers                 ,0.453794511,34.14068721," NPK, CAN, DAP"," 60,55,70"
Raji                                ,0.45181812,34.10975531," NPK, CAN, DAP"," 60,55,70"
Raj agrovet                         ,6.054450912,-25.7005439," NPK, CAN, DAP"," 60,55,70"
Hope Empire                         ,0.461285682,34.11130629," NPK, CAN, DAP"," 60,55,70"
Betty Shop                          ,0.4586651,34.1158101," NPK, CAN, DAP"," 60,55,70"
Agro business                       ,0.485308067,34.1365432," NPK, CAN, DAP"," 60,55,70"
Rajagrodealers                      ,0.462715923,34.11138475," NPK, CAN, DAP"," 60,55,70"
Raj Agrodealers                     ,0.449434045,34.11540538," NPK, CAN, DAP"," 60,55,70"
Shraj agro dealers                  ,0.474673817,34.11469862," NPK, CAN, DAP"," 60,55,70"
Kencom LTD                          ,0.716112386,34.34244666," NPK, CAN, DAP"," 60,55,70"
Akulwa Farm                         ,0.4586668,34.114916," NPK, CAN, DAP"," 60,55,70"
Osere                               ,-16.14105678,-28.53020366," NPK, CAN, DAP"," 60,55,70"
Kisoko                              ,0.4525986,34.243028," UREA, CAN    "," 50,55"
Siai agrovet                        ,0.461774163,34.2376893," UREA, CAN    "," 50,55"
Noble Kafuna                        ,0.4569877,34.2378334," UREA, CAN    "," 50,55"
Raj Agro Dealer                     ,13.06862454,8.671746366," UREA, CAN    "," 50,55"
Maize agro dealers                  ,2.377263891,-19.90941323," UREA, CAN    "," 50,55"
Osuret agrovet                      ,0.590058119,34.24996745," UREA, CAN    "," 50,55"
Large agro                          ,0.44253226,34.11484648," UREA, CAN    "," 50,55"
Adongo                              ,0.457254786,34.11566891," UREA, CAN    "," 50,55"
Antonio seller                      ,0.400045207,34.12383422," UREA, CAN    "," 50,55"
Raj agro dealers                    ,0.456796143,34.10692558," UREA, CAN    "," 50,55"
Vision Agrodealers                  ,0.458780244,34.11661506," UREA, CAN    "," 50,55"
Raj agrodelears                     ,0.486140863,34.13660958," UREA, CAN    "," 50,55"
Nakhayo agrovet                     ,0.457034852,34.23800144," MOP, DAP     "," 52,58"
Shraj enterprises                   ,47.66409873,-21.48881391," MOP, DAP     "," 52,58"
Ounoi                               ,0.456746859,34.12410177," MOP, DAP     "," 52,58"
Raj Agro Dealers                    ,0.319187592,34.10722665," MOP, DAP     "," 52,58"
Fertilizer                          ,0.433597077,34.14922167," MOP, DAP     "," 52,58"
Teso agrodealers                    ,0.505735007,34.16881688," MOP, DAP     "," 52,58"
CHAKOL FARMERS AGROVET              ,0.514408927,34.14985836," UREA, CAN    "," 50,55"
Daktari                             ,0.440534073,34.28904053," UREA, CAN    "," 50,55"
Royal Agrovet                       ,0.3007774,34.0963292," UREA, CAN    "," 50,55"
Partric Agro imputs                 ,0.540443021,34.26018599," UREA, CAN    "," 50,55"
Rameses agrovet                     ,0.563298069,34.27219961," UREA, CAN    "," 50,55"
Funyula Agrovet                     ,0.279385,34.1205432," UREA, CAN    "," 50,55"
Amerikwai Agrovet                   ,0.4479979,34.1432849," UREA, CAN    "," 50,55"
Blessed Agrovet                     ,0.414200878,34.21090409," UREA, CAN    "," 50,55"
Wakulima Agrovet                    ,0.3025761,34.206202," UREA, CAN    "," 50,55"
Amukura hardware                    ,0.55779,34.2680817," UREA, CAN    "," 50,55"
Smart choice                        ,0.207394654,34.02010046," UREA, CAN    "," 50,55"
AMAGRACE                            ,0.3342698,34.2551842," UREA, CAN    "," 50,55"
Prime farmers grovet                ,0.1280513,34.0927042," UREA, CAN    "," 50,55"
WAKULIMA AGROVET                    ,0.3289429,34.3128812," UREA, CAN    "," 50,55"
Mama angel general shop             ,0.4143214,34.1476672," UREA, CAN    "," 50,55"
Gracious Agrovet                    ,0.5958336,34.224384," UREA, CAN    "," 50,55"
KOLANYA AGROVET                     ,0.7023432,34.3982028," UREA, CAN    "," 50,55"
TUMAINI                             ,0.334875,34.2580833," UREA, CAN    "," 50,55"
Faith cereals store                 ,0.4312267,34.1489167," UREA, CAN    "," 50,55"
Giathi Agro                         ,0.459595609,34.11520723," UREA, CAN    "," 50,55"
Multidose                           ,0.460094819,34.11370419," UREA, CAN    "," 50,55"
Asing'e Agrovet                     ,0.5446433,34.1749317," UREA, CAN    "," 50,55"
Arise and shine hardware            ,0.4309991,34.1488374," UREA, CAN    "," 50,55"
